Field,Label,Value
created,Created,2018-09-26T15:43:42.595071
description,Description,Food prices data with HXL tags
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/ea251823-8694-47b4-82d0-7d27f00e8aba/resource/9a842d72-0d7d-4922-ad0e-eb8106c1ab0e/download/wfp_food_prices_phl.csv
id,Resource ID,9a842d72-0d7d-4922-ad0e-eb8106c1ab0e
last_modified,Updated,2025-10-05T15:45:22.577614
metadata_modified,Metadata Updated,2025-10-05T15:45:26.094830
microdata,Microdata,False
dataset_id,Dataset ID,ea251823-8694-47b4-82d0-7d27f00e8aba
resource_type,Resource Type,file.upload
name,Resource Name,Philippines - Food Prices
mimetype,MIME Type,
size,Size,18.1M
